,ICE - ETOBICOKE PLANT,Forecast1,Etobicoke,,,,Month Remainder,,,,,,,,,,,
FG1,FG2,FG3,FG4,,,,77%,,,,,,,,,,,
77001401,77011401,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Confort,FG on  Hand:,"5,184",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000422,BAG PRACTICAT BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"28,750",Demand, 	-    , 	-    , 	-    ," 	7,248  "," 	6,288  "," 	7,248  "," 	11,840  "," 	8,448  "," 	3,920  "," 	6,288  "," 	13,360  "," 	5,648  "," 	6,400  "," 	6,288  "," 	12,000  "
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario," 	2,160  "," 	3,088  "," 	4,816  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    ," 	25,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 25000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,3/20/26,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"15,639"," 	9,351  "," 	27,103  "," 	15,263  "," 	6,815  "," 	2,895  "," 	(3,393) "," 	(16,753) "," 	(22,401) "," 	(28,801) "," 	(35,089) "," 	(47,089) "
,,,Safety Stock,7500,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,100000014,MONTMORILLONITE GRANULAR,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
ISABELLE PICARD,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 30d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,200000021,HYDROQUINONE,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
NANCY QUESSY,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 30d,,0,Supply,,,, 	-    ," 	3,086  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 3086,44",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,2/16/26,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "," 	3,086  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,200000022,AF-50 ULTRATEFLON (DUST SUPPRESSANT),,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,"1,296",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 7d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"1,096"," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "," 	1,096  "
,,,Safety Stock,200,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,200000024,SODIUM BICARBONATE (USP GRADE),,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 30d,,0,Supply,,,," 	5,556  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 5556,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,1/12/26,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"5,556"," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "," 	5,556  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,200000025,OXPURE ACTIVATED CARBON,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,"1,090",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,890, 	890  , 	890  , 	890  , 	890  , 	890  , 	890  , 	890  , 	890  , 	890  , 	890  , 	890  
,,,Safety Stock,200,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40123254,40123354,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Premium,FG on  Hand:,"1,848",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000000,BAG ODOUR BUSTER MULTICAT UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,60,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,60, 	60  , 	60  , 	60  , 	60  , 	60  , 	60  , 	60  , 	60  , 	60  , 	60  , 	60  
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000005,BAG IT'S JUST CAT LITTER 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
