Material,Material Description,Plant,Plant Name,Storage Location,Description of Storage Location,Special Stock Type,Special Stock Type Description,Unrestricted Stock,Stock in Quality Inspection,Blocked Stock,Base Unit,
600000022,OL - HANGING SIGN - ENG CANADA,2914,ICM - NOTRE-DAME WAREHOUSE,291D,Zone D,,,75,0,0,EA,
600000020,OL - DISPLAY - USA - ENG,1716,IAG - WASTENOT MGMT GREELEY,171F,LOADING DOCK,,,200,0,0,EA,
600000018,OL - DISPLAY - CANADA - ENG,2914,ICM - NOTRE-DAME WAREHOUSE,291D,Zone D,,,89,0,0,EA,
600000018,OL - DISPLAY - CANADA - ENG,2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,30,0,0,EA,
600000017,CLASSIC - PALLET WRAP - EURO - ENG,2914,ICM - NOTRE-DAME WAREHOUSE,291D,Zone D,,,70,0,0,EA,
600000016,OL - PALLET WRAP - USA - ENG,1716,IAG - WASTENOT MGMT GREELEY,171F,LOADING DOCK,,,100,0,0,EA,
600000015,OL - PALLET WRAP - EURO SKID - ENG,2914,ICM - NOTRE-DAME WAREHOUSE,291D,Zone D,,,150,0,0,EA,
600000010,DISPLAY ODORLOCK CAN,2912,ICN - NEWTON PLANT,291B,Zone B,,,48,0,0,EA,
600000006,SCOOPS (FOR DISPLAYS),2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,5112,0,0,EA,
600000005,DISPLAY ODORLOCK USA,1716,IAG - WASTENOT MGMT GREELEY,171F,LOADING DOCK,,,218,0,0,EA,
600000004,DISPLAY MAXCARE USA,1716,IAG - WASTENOT MGMT GREELEY,171F,LOADING DOCK,,,334,0,0,EA,
500002023,GRANULE POUCH BLUCARE TQ7 V3 15G,2920,Blücare Laboratories inc.,291A,Unrestricted,,,425,0,0,EA,
500002022,GRANULE POUCH HEMATURIA HDV3 20G,2920,Blücare Laboratories inc.,291A,Unrestricted,,,81,0,0,EA,
500002020,GRANULES PLACEBO,2920,Blücare Laboratories inc.,291A,Unrestricted,,,45.62,0,0,KG,
500002018,GRANULES GLUCOSURIA,2920,Blücare Laboratories inc.,291A,Unrestricted,,,237.97,0,0,KG,
500002017,MATRIX TQ7 V3,2920,Blücare Laboratories inc.,291A,Unrestricted,,,20.16,0,0,KG,
500002016,MATRIX TQ7 V2,2920,Blücare Laboratories inc.,291A,Unrestricted,,,205.46,0,0,KG,
500002015,SDBS SOLUTION 10%,2920,Blücare Laboratories inc.,291A,Unrestricted,,,9.86,0,0,KG,
500002014,MATRIX GLUCOSURIA,2920,Blücare Laboratories inc.,291A,Unrestricted,,,22.48,0,0,KG,
500002010,MATRIX HEMATURIA,2920,Blücare Laboratories inc.,291A,Unrestricted,,,49.16,0,0,KG,
500002009,EDTA SOLUTION 0.5M pH7.0,2920,Blücare Laboratories inc.,291A,Unrestricted,,,0.09,0,0,KG,
500002006,GRANULES GDV3,2920,Blücare Laboratories inc.,291A,Unrestricted,,,5.35,0,0,KG,
500002005,GRANULES HDV3,2920,Blücare Laboratories inc.,291A,Unrestricted,,,2583.05,0,0,KG,
500002004,GRANULES TQ7 V3,2920,Blücare Laboratories inc.,291A,Unrestricted,,,844.26,0,0,KG,
500002002,OL MAXCARE GRANULES SHIPPER BOX 40 DISPL,2912,ICN - NEWTON PLANT,291A,Zone A,,,11,0,0,EA,
500002002,OL MAXCARE GRANULES SHIPPER BOX 40 DISPL,2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,2,0,0,EA,
500002002,OL MAXCARE GRANULES SHIPPER BOX 40 DISPL,2920,Blücare Laboratories inc.,291A,Unrestricted,,,0.89,0,0,EA,
500002001,GRANULE POUCH BLUCARE MULTIDETECT 8G,2920,Blücare Laboratories inc.,291A,Unrestricted,,,262,262,0,EA,
500002000,GRANULE POUCH BLUCARE HEMATURIA 20G,2920,Blücare Laboratories inc.,291A,Unrestricted,,,197,0,49,EA,
500000442,MIXER RECIPE 100,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,27614,0,0,KG,
500000380,SC STONE CHERRY BLOSSOM U-17461 10KG,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,300,0,0,KG,
500000338,CLUMPING MIXTURE,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,1335.339,0,0,KG,
500000338,CLUMPING MIXTURE,2912,ICN - NEWTON PLANT,291A,Zone A,,,2058,0,0,KG,
500000338,CLUMPING MIXTURE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,486,0,0,KG,
500000338,CLUMPING MIXTURE,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,101.126,0,0,KG,
500000336,SC STONE FRESH CUT GRASS (FG) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,110,0,0,KG,
500000336,SC STONE FRESH CUT GRASS (FG) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,68.33,0,0,KG,
500000335,SC STONE FRESH BREEZE (FB) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,37.99,0,0,KG,
500000335,SC STONE FRESH BREEZE (FB) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,360,0,0,KG,
500000334,SC STONE NORDIC FOREST (NF) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,305,0,0,KG,
500000334,SC STONE NORDIC FOREST (NF) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,200,0,0,KG,
500000334,SC STONE NORDIC FOREST (NF) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,190,0,0,KG,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,205,0,0,KG,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,550,0,0,KG,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,42.22,0,0,KG,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,50,0,0,KG,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,50,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,,,,,0,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,120.852,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,400,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,344.6,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,50,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,60,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,440,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,400,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,62.78,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,428,0,0,KG,
