Tab,ID (9 digits),Notes 1,,,
IAW,300000006,Va etre discontinué sans remplacement,,,
IAW,300000007,va etre remplacé par 300000135,,,
IAW,300000135,remplace 300000007,,,
IAW,300000008,Averti  Cameron d'enlever le forecast,remplacé par 300000137,,
IAW,300000137,remplace 300000008,adding 300000008 forecast,,
IAW,300000009,Discontinué sans remplacement,,,
IAW,300000052,PAF 50K sent 11/07 - Response 12/4,M&Ship 50K ok JC 2025-12-04,,
IAW,300000058,PAF 140K sent 11/07 - No response from sales.,,,
IAW,300000059,PAF 80K sent 11/07 - No response from sales.,,,
IAW,300000073,adding forecast Maria,,,
IAW,300000074,adding forecast Maria,,,
IAW,300000075,va etre remplacé par 300000XXX,,,
IAW,300000134,remplace 300000XXX,,,
IAW,300000076,va etre remplacé par 300000646,,,
IAW,300000646,remplace 300000076,va etre remplacé par 300000497,,
IAW,300000471,va etre remplacé par 300000497,,,
IAW,300000497,va remplacer 300000471,,,
IAW,300000077,va etre remplacé par 300000XXX,,,
IAW,300000138,va remplacer 300000XXX,,,
IAW,300000078,va etre remplacé par 300000XXX,,,
IAW,300000139,remplace 300000XXX,,,
IAW,300000079,va etre remplacé par 300000472,,,
IAW,300000472,remplace 300000079,va etre remplacé par 300000505,,
IAW,300000505,remplace 300000472,,,
IAW,300000100,Forecast selon Maria,,,
IAW,300000123,adding forecast of Maria,,,
IAW,300000497,va remplacer 300000471,,,
IAW,300000632,MOQ 95k (4x24k),in January,"March order cancelled, not enough paper due to too much waste on the 1st try of PrePrint","2000 QC picked up week of 12/01, will be sorted and good ones returned"
ICB,300000328,va etre remplacé par 300000511 V3,,,
ICB,300000329,va etre remplacé par 300000511 V3,,,
ICB,300000511,Va remplacer 300000328-329,,,
ICB,300000330,va etre rempacé par 300000648(pinch dark blue)  puis par 300000507 V3,,,
ICB,300000648,remplace 300000330,va etre remplacé par 300000507,,
ICB,300000507,va remplacer 300000648,,,
ICB,300000333,Va etre remplacé par 300000512 V3,,,
ICB,300000512,Va remplacer 300000333,,,
ICB,300000334,MAEU260118451,MAEU260245692,va être remplacé par 300000649,
ICB,300000649,remplace 300000334,va etre remplacé par 300000508,,
ICB,300000508,va remplacé 300000649,,,
ICB,300000337,va être remplacé par 300000513 V3,,,
ICB,300000513,va remplacer 300000337,,,
ICB,300000338,MAEU260118451,va etre remplacé par 300000650,,
ICB,300000650,remplace 300000338,va etre remplacé par 300000509,,
ICB,300000509,remplace 300000650,,,
ICB,300000341,va etre remplacé par 300000514 V3,,,
ICB,300000514,remplace 300000341,,,
ICB,300000342,MAEU260118451,va etre remplacé par 300000651,,
ICB,300000651,remplace 300000342,va etre remplacé par 300000510,,
ICB,300000510,remplace 300000651,,,
ICB,300000344,va remplacer 300000345,va etre remplacé par 300000515,,
ICB,300000345,va etre remplacé par 300000344,,,
ICB,300000515,va remplacer 300000344,,,
ICB,300000459,remplacé par 300000538,,,
ICB,300000538,MAEU260245692,va etre remplacé par 300000655,,
ICB,300000655,va remplacer 300000538,,,
ICS,300000328,va etre remplacé par 300000511,,,
ICS,300000329,va etre remplacé par 300000511,,,
ICS,300000333,va etre remplacé par 300000512,,,
ICS,300000337,va etre remplacé par 300000513,,,
ICS,300000341,va etre remplacé par 300000514,,,
ICS,300000514,remplace 300000341,,,
ICS,300000344,va etre remplacé par 300000515,,,
ICS,300000345,va etre remplacé par 300000344,,,
ICS,300000515,remplace 300000344,,,
ICS,300000369,PHASE -OUT- RACHAT PAR MONDOU,,,
ICS,300000371,PHASE -OUT- RACHAT PAR MONDOU,,,
ICS,300000406,va etre remplacé 300000464,,,
ICS,300000464,remplace 300000406,,,
ICS,300000496,PHASE OUT - RACHAT PAR MONDOU,,,
ICE,300000071,N'EST PAS UTILISÉ A 2917,,,
ICE,300000330,va etre remplacé par 300000648,,,
ICE,300000334,va etre remplacé par 300000649,,,
ICE,300000337,N'EST PAS UTILISÉ A 2917,,,
ICE,300000338,va etre remplacé par 300000650,,,
ICE,300000341,N'EST PAS UTILISÉ A 2917,,,
ICE,300000342,va etre remplacé par 300000651,,,
ICE,300000345,N'EST PAS UTILISÉ A 2917,,,
ICE,300000350,N'EST PAS UTILISÉ A 2917,,,
ICE,300000445,sera remplacé par 300000545,,,
ICE,300000449,Attends PMO pour new bag,,,
ICE,300000452,Va etre discontinué,,,
ICE,300000453,Va etre discontinué,,,
ICE,300000455,va etre remplacé par 300000653,,,
ICE,300000653,remplace 300000455,,,
ICE,300000457,sera remplacé par 300000654,,,
ICE,300000654,remplace 300000457,,,
ICE,300000513,N'EST PAS UTILISÉ A 2917,,,
ICE,300000514,N'EST PAS UTILISÉ A 2917,,,
ICE,300000515,N'EST PAS UTILISÉ A 2917,,,
ICE,300000538,N'EST PAS UTILISÉ A 2917,,,
ICE,300000545,remplace 300000445,va etre remplacé par 300000652,,
ICE,300000652,remplace 300000545,,,
