Plant Name,Material Number,Material Description,Purchasing Group,Purchasing Grp. Name,Safety Stock,Material Group,Planned Delivery Time (Calendar Days),
IAA - ACME WAREHOUSE,300000020,3X14LB BLANK BOX FOR JUGS,3,NANCY QUESSY,0,RG2000,30,
IAA - ACME WAREHOUSE,300000031,2X20LB BLANK BOX FOR JUGS,3,NANCY QUESSY,0,RG2000,30,
IAA - ACME WAREHOUSE,300000042,BOX HEB PRO SC 14LB,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000048,BOX HEB PRO SC 40LB,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000049,BOX HEB PRO SC 28LB,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000050,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000072,LB CAT MAGIC UN 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAA - ACME WAREHOUSE,300000073,LB CAT MAGIC SC 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAA - ACME WAREHOUSE,300000074,LB CAT MAGIC CARBON UN 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAA - ACME WAREHOUSE,300000080,BAG ARTEMIS BONO BOX SC 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAA - ACME WAREHOUSE,300000081,BAG ARTEMIS BONO BOX UN 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAA - ACME WAREHOUSE,300000084,PAIL BLAIN UN 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000085,PAIL BLAIN SC 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000086,PAIL HEB ORIGINAL UN 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000087,PAIL HEB PRO SC 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000088,PAIL PSP UN 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000089,PAIL PSP LA 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000090,PAIL PSP FS 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000091,LID SQ MAUSER 35LB,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000092,SQUARE LID TEAR STRIP WHITE IN BDL,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000129,PAIL SO PHRESH ADV.OC UN 30LB GREEN,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000130,LID-PAIL SO PHRESH ADV.OC UN 30LB GREEN,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000131,PAIL SO PHRESH ADV.OC SC 30LB RED,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000132,LID-PAIL SO PHRESH DO MULTI SC 30LB RED,3,NANCY QUESSY,0,RG4000,60,
IAA - ACME WAREHOUSE,300000495,BOX HEB PRO SC 42LB,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000504,BAG KITTY POO UN 15LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAA - ACME WAREHOUSE,300000532,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,300000632,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,30,
IAA - ACME WAREHOUSE,400000001,SLIP SHEET,3,NANCY QUESSY,0,RP3000,30,
IAG - WASTENOT MGMT GREELEY,300000020,3X14LB BLANK BOX FOR JUGS,3,NANCY QUESSY,10000,RG2000,30,
IAG - WASTENOT MGMT GREELEY,300000031,2X20LB BLANK BOX FOR JUGS,3,NANCY QUESSY,45000,RG2000,30,
IAG - WASTENOT MGMT GREELEY,300000042,BOX HEB PRO SC 14LB,3,NANCY QUESSY,20000,RG3000,30,
IAG - WASTENOT MGMT GREELEY,300000048,BOX HEB PRO SC 40LB,3,NANCY QUESSY,0,RG3000,30,
IAG - WASTENOT MGMT GREELEY,300000049,BOX HEB PRO SC 28LB,3,NANCY QUESSY,10000,RG3000,30,
IAG - WASTENOT MGMT GREELEY,300000050,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,30,
