Created On,Next Schedule Line Date,Created By,Purchasing Group Name,Purchase Order,Material,Material Number,Plant Name,Supplier,Quantity to be Delivered,Order Quantity,Order Type,
8/21/25,8/26/25,Nancy Quessy,NANCY QUESSY,4500013245,CALCIUM CARBONATE 16X60 MODIFIED (100000013),100000013,IAW - WINDSOR PLANT,"PETE LIEN & SONS, INC. (1000388)",267.9,390,Standard PO (NB),
9/17/25,10/7/25,Sina Sabbaghian,MAGALIE SENECAL-J.,4500014161,LIMESTONE / DOLOMITE (100000003),100000003,ICE - ETOBICOKE PLANT,E.C. KING CONTRACTING (1001377),41.77,200,Standard PO (NB),
9/5/25,10/15/25,Sina Sabbaghian,NANCY QUESSY,4500013753,PECO PALLET 40 X 48 (400000007),400000007,IAW - WINDSOR PLANT,PALETTE PECO CANADA INC. (1000387),150,150,Standard PO (NB),
9/5/25,10/22/25,Sina Sabbaghian,NANCY QUESSY,4500013776,NEW HT DISP PALLET 40 X 48 4 WAY (400000006),400000006,IAW - WINDSOR PLANT,GO GREEN PALLET CO. INC. (1000551),520,520,Standard PO (NB),
9/4/25,10/29/25,Sina Sabbaghian,NANCY QUESSY,4500013659,HT DISP PALLET 40 X 48 4 WAY (400000005),400000005,IAW - WINDSOR PLANT,PRO PALLET INC. (1000315),520,520,Standard PO (NB),
9/4/25,10/30/25,Sina Sabbaghian,NANCY QUESSY,4500013659,HT DISP PALLET 40 X 48 4 WAY (400000005),400000005,IAW - WINDSOR PLANT,PRO PALLET INC. (1000315),520,520,Standard PO (NB),
10/27/25,11/1/25,Julien Chenard,ISABELLE PICARD,4500015527,CALCIUM CARBONATE 16X60 MODIFIED (100000013),100000013,ICB - BOUCHERVILLE PLANT,GRAYMONT (QC) INC (1001375),9.02,480,Standard PO (NB),
10/30/25,11/5/25,Vincent Blain-Guilbert,VINCENT B.GUILBERT,4500015753,LIMESTONE / DOLOMITE (100000003),100000003,ICE - ETOBICOKE PLANT,GRAYMONT (PORTNEUF) INC. (1001374),46.27,160,Standard PO (NB),
10/31/25,11/6/25,Nancy Quessy,NANCY QUESSY,4500015770,CALCIUM CARBONATE 16X60 MODIFIED (100000013),100000013,IAW - WINDSOR PLANT,"PETE LIEN & SONS, INC. (1000388)",100.773,450,Standard PO (NB),
10/30/25,11/7/25,Sina Sabbaghian,VINCENT B.GUILBERT,4500015748,CALCIUM CARBONATE 16X60 MODIFIED (100000013),100000013,ICB - BOUCHERVILLE PLANT,GRAYMONT (QC) INC (1001375),18.6,520,Standard PO (NB),
7/25/25,11/11/25,Julien Chenard,ISABELLE PICARD,4500012396,CALCIUM CARBONATE 16X60 MODIFIED (100000013),100000013,ICB - BOUCHERVILLE PLANT,GRAYMONT (QC) INC (1001375),53.25,480,Standard PO (NB),
10/8/25,11/11/25,Julien Chenard,ISABELLE PICARD,4500014874,DISPOSABLE PALLET (40X48) (400000017),400000017,ICB - BOUCHERVILLE PLANT,NIAGARA PALLET & RECYCLERS LTD (1001184),520,520,Standard PO (NB),
10/8/25,11/11/25,Julien Chenard,ISABELLE PICARD,4500014874,EURO PALLET HT (400000015),400000015,ICB - BOUCHERVILLE PLANT,NIAGARA PALLET & RECYCLERS LTD (1001184),663,663,Standard PO (NB),
9/5/25,11/17/25,Sina Sabbaghian,NANCY QUESSY,4500013777,NEW HT DISP PALLET 40 X 48 4 WAY (400000006),400000006,IAW - WINDSOR PLANT,GO GREEN PALLET CO. INC. (1000551),520,520,Standard PO (NB),
9/5/25,11/24/25,Sina Sabbaghian,NANCY QUESSY,4500013755,PECO PALLET 40 X 48 (400000007),400000007,IAW - WINDSOR PLANT,PALETTE PECO CANADA INC. (1000387),150,150,Standard PO (NB),
