Product,Product Description,Product Type,Product Group,GTIN,Product Category,Cross-Plant Product Status,Cross-Plant Status Valid From,Old Product Number,Product+1-1,
10004000,BOXIE SCENTED SC 40LB Bag HT PAL - 152,FERT,FP1000,855978006512,Product,03,1/1/24 0:00,10004000,10004000,
10006140,BOXIE ORIGINAL SC 28LB Bag HT PAL - 103A,FERT,FP1000,862918000059,Product,03,1/1/24 0:00,10006140,10006140,
10006150,BOXIE ORIGINAL SC 28LB BAG HT PAL - 103C,FERT,FP1000,862918000059,Product,05,1/1/24 0:00,10006150,10006150,
10006470,BOXIE ORIGINAL SC 16LB Bag HT PAL - 102,FERT,FP1000,862918000042,Product,03,1/1/24 0:00,10006470,10006470,
10384130,BLAIN UN 35LB PAIL HT PAL NEW,FERT,FP1000,888520036026,Product,03,1/1/24 0:00,10384130,10384130,
10384135,BLAIN SC 35LB PAIL HT PAL NEW,FERT,FP1000,888520026911,Product,03,1/1/24 0:00,10384135,10384135,
10502000,FRESSNAPF PE XL BP 12KG BAG EURO PAL,FERT,FP1000,47777161479,Product,03,1/1/24 0:00,10502000,10502000,
10503000,FRESSNAPF PURE UN 12KG BAG EURO PAL,FERT,FP1000,47777201700,Product,03,1/1/24 0:00,10503000,10503000,
10508000,FRESSNAPF PE LE 12KG BAG EURO PAL,FERT,FP1000,47777124115,Product,03,1/1/24 0:00,10508000,10508000,
10509000,FRESSNAPF SENS UN 12KG BAG EURO PAL,FERT,FP1000,47777010883,Product,03,1/1/24 0:00,10509000,10509000,
10645000,FRESSNAPF PE BP 12KG BAG EURO PAL,FERT,FP1000,47777102236,Product,03,1/1/24 0:00,10645000,10645000,
10741301,HEB PRO UN 3x14LB JUG HT PAL NEW,FERT,FP1000,10041220609175,Product,03,1/1/24 0:00,10741301,10741301,
10741591,HEB ORIGINAL UN 2x20LB JUG HT PAL,FERT,FP1000,10041220609182,Product,03,1/1/24 0:00,10741591,10741591,
10742971,HEB ORIGINAL UN 35LB PAIL HT PAL NEW,FERT,FP1000,10041220609205,Product,03,1/1/24 0:00,10742971,10742971,
10745000,FRESSNAPF CHBL 12KG BAG EURO PAL,FERT,FP1000,4047777192886,Product,03,1/1/24 0:00,,10745000,
10755431,HEB PRO SC 35LB PAIL HT PAL NEW,FERT,FP1000,10041220609151,Product,03,1/1/24 0:00,10755431,10755431,
